Ticker,Report Date,Publish Date,Revenue,Net Income,Operating Income (Loss)
AAPL,2009-06-30,2009-07-21,9734000000,1828000000,2632000000
AAPL,2009-09-30,2009-10-21,12207000000,2532000000,3684000000
AAPL,2009-12-31,2010-01-25,15683000000,3378000000,4725000000
AAPL,2010-03-31,2010-04-21,13499000000,3074000000,3979000000
AAPL,2010-06-30,2010-07-21,15700000000,3253000000,4234000000
AAPL,2010-09-30,2010-10-27,20343000000,4308000000,5447000000
AAPL,2010-12-31,2011-01-19,26741000000,6004000000,7827000000
AAPL,2011-03-31,2011-04-21,24667000000,5987000000,7874000000
AAPL,2011-06-30,2011-07-20,28571000000,7308000000,9379000000
AAPL,2011-09-30,2011-10-26,28270000000,6623000000,8710000000
AAPL,2011-12-31,2012-01-25,46333000000,13064000000,17340000000
AAPL,2012-03-31,2012-04-25,39186000000,11622000000,15384000000
AAPL,2012-06-30,2012-07-25,35023000000,8824000000,11573000000
AAPL,2012-09-30,2012-10-31,35966000000,8223000000,10944000000
AAPL,2012-12-31,2013-01-24,54512000000,13078000000,17210000000
AAPL,2013-03-31,2013-04-24,43603000000,9547000000,12558000000
AAPL,2013-06-30,2013-07-24,35323000000,6900000000,9201000000
AAPL,2013-09-30,2013-10-30,37472000000,7512000000,10030000000
AAPL,2013-12-31,2014-01-28,57594000000,13072000000,17463000000
AAPL,2014-03-31,2014-04-24,45646000000,10223000000,13593000000
AAPL,2014-06-30,2014-07-23,37432000000,7748000000,10282000000
AAPL,2014-09-30,2014-10-27,42123000000,8467000000,11165000000
AAPL,2014-12-31,2015-01-28,74599000000,18024000000,24246000000
AAPL,2015-03-31,2015-04-28,58010000000,13569000000,18278000000
AAPL,2015-06-30,2015-07-22,49605000000,10677000000,14083000000
AAPL,2015-09-30,2015-10-28,51501000000,11124000000,14623000000
AAPL,2015-12-31,2016-01-27,75872000000,18361000000,24171000000
AAPL,2016-03-31,2016-04-27,50557000000,10516000000,13987000000
AAPL,2016-06-30,2016-07-27,42358000000,7796000000,10105000000
AAPL,2016-09-30,2016-10-26,46852000000,9014000000,11761000000
AAPL,2016-12-31,2017-01-26,78351000000,17891000000,23359000000
AAPL,2017-03-31,2017-05-03,52896000000,11029000000,14097000000
AAPL,2017-06-30,2017-08-02,45408000000,8717000000,10768000000
AAPL,2017-09-30,2017-11-02,52579000000,10714000000,13120000000
AAPL,2017-12-31,2018-02-02,88293000000,20065000000,26274000000
AAPL,2018-03-31,2018-05-02,61137000000,13822000000,15894000000
AAPL,2018-06-30,2018-08-01,53265000000,11519000000,12612000000
AAPL,2018-09-30,2018-11-05,62900000000,14125000000,16118000000
AAPL,2018-12-31,2019-01-30,84310000000,19965000000,23346000000
AAPL,2019-03-31,2019-05-01,58015000000,11561000000,13415000000
ABT,2012-03-31,2012-05-08,5283685000,1242124000,509185000
ABT,2012-06-30,2012-08-07,5313297000,1724612000,564190000
ABT,2012-09-30,2012-11-07,5264787000,1942806000,310017000
ABT,2012-12-31,2013-02-15,3188231000,1053458000,-23392000
ABT,2013-03-31,2013-05-08,5378000000,544000000,615000000
ABT,2013-06-30,2013-08-06,5446000000,476000000,627000000
ABT,2013-09-30,2013-11-07,4825000000,966000000,473000000
ABT,2013-12-31,2014-02-21,4008000000,590000000,418000000
ABT,2014-03-31,2014-05-07,4755000000,375000000,365000000
ABT,2014-06-30,2014-08-05,5057000000,466000000,677000000
ABT,2014-09-30,2014-11-06,5079000000,538000000,728000000
ABT,2014-12-31,2015-02-27,5356000000,905000000,829000000
ABT,2015-03-31,2015-05-06,4897000000,2292000000,610000000
ABT,2015-06-30,2015-08-04,5170000000,784000000,729000000
ABT,2015-09-30,2015-11-05,5150000000,580000000,713000000
ABT,2015-12-31,2016-02-19,5188000000,767000000,815000000
ABT,2016-03-31,2016-05-04,4885000000,316000000,524000000
